会计年度,人均能源生产量_能源总量（千克标准煤）,人均能源生产量_原煤（千克）,人均能源生产量_原油（千克）,人均能源生产量_电力（千瓦小时）,人均能源消费量_能源总量（千克标准煤）,人均能源消费量_煤炭（千克）,人均能源消费量_石油（千克）,人均能源消费量_电力（千瓦小时）
1952,,,,,,,,
1953,89.3,120.4,1.07,15.82,93.07,122.96,2.48,15.82
1954,105.19,141.1,1.33,18.48,104.72,137.05,3.17,18.48
1955,119.85,161.01,1.59,20.21,114.48,149.02,3.93,20.21
1956,132.62,177,1.87,26.71,141.6,183.89,4.78,26.71
1957,154.71,205.52,2.29,30.28,151.3,195.62,4.86,30.28
1958,303.8,413.33,3.46,42.1,269.41,357.04,7.39,42.1
1959,407.82,554.05,5.6,63.51,359.25,476.36,10.18,63.51
1960,444.29,595.14,7.8,89.05,452.55,595.15,13.01,89.05
1961,321.42,421,8.04,72.69,308.79,394.89,11.81,72.69
1962,258.12,330.44,8.64,68.79,248.43,310.45,11.49,68.79
1963,249.28,318.03,9.5,71.81,228.14,284.16,11.49,71.81
1964,246.75,307.87,12.14,80.19,238.23,293.55,13.4,80.19
1965,263.2,324.39,15.81,94.52,264.28,319.97,18.99,94.52
1966,283.29,342.67,19.79,112.18,275.62,332.88,19.61,112.18
1967,231.85,273.01,18.4,102.58,242.9,288.38,18.51,102.58
1968,241.64,284.05,20.65,92.45,237.63,278.86,20.1,92.45
1969,290.24,334.16,27.31,118.09,285.54,327.64,27.5,118.09
1970,378.71,432.6,37.46,141.63,357.94,405.52,36.75,141.63
1971,419.56,466.05,46.86,164.55,410.13,454.89,45.92,164.55
1972,438.33,475.62,52.98,176.79,432.39,469.39,51.96,176.79
1973,453.69,472.82,60.79,189.13,443.44,464.8,57.66,189.13
1974,462.33,458.71,72.03,187.48,445.54,450.49,64.65,187.48
1975,532.02,525.97,84.09,213.66,495.69,498.84,73.09,213.66
1976,540.89,518.97,93.65,218.23,513.93,503.18,82.71,218.23
1977,597.76,582.96,99.25,236.79,554.92,546.01,87.79,236.79
1978,656.48,646.33,108.82,268.36,597.64,591.57,95.07,268.36
1979,666.27,655.31,109.55,291.02,604.62,603.88,92.2,291.02
1980,650,632,108,306,614,622,89,306
1981,636,625,102,311,598,610,94,311
1982,662,661,101,325,615,636,81,325
1983,696,698,104,343,645,671,82,344
1984,751,761,111,364,684,723,83,364
1985,814,830,119,391,730,776,87,392
1986,826,838,123,421,758,806,91,422
1987,842,856,124,459,799,856,95,460
1988,870,889,124,495,844,902,101,496
1989,909,942,123,523,867,925,104,524
1990,915,951,122,547,869,930,101,549
1991,911,945,123,589,902,960,108,591
1992,921,958,122,647,937,979,115,651
1993,942,976,123,711,984,1026,125,715
1994,996,1040,123,779,1030,1078,125,777
1995,1071,1129,125,836,1089,1143,133,832
1996,1093,1147,129,887,1110,1150,145,884
1997,1085,1128,131,923,1105,1120,157,917
1998,1045,1073,130,939,1097,1087,160,934
1999,1053,1089,128,989,1122,1112,168,982
2000,1097,1096,129,1074,1156,1075,178,1067
2001,1159,1157,129,1164,1223,1125,180,1158
2002,1221,1211,130,1292,1324,1200,194,1286
2003,1384,1424,132,1483,1530,1426,214,1477
2004,1590,1638,136,1700,1777,1637,241,1695
2005,1757,1814,139,1918,2005,1867,250,1913
2006,1867,1960,141,2186,2185,2064,266,2181
2007,2005,2094,141,2490,2363,2204,278,2482
2008,2094,2192,144,2617,2420,2269,282,2608
2009,2149,2340,142,2790,2525,2441,290,2782
2010,2399,2563,152,3145,2696,2609,330,3135
2011,2531,2801,151,3506,2880,2894,339,3497
2012,2599,2921,154,3693,2977,3018,354,3684
2013,2643,2928,155,4002,3071,3127,368,3993
2014,2652,2840,155,4141,3121,3017,380,4133
2015,2636,2732,156,4240,3135,2895,402,4231
2016,2510,2474,145,4455,3161,2789,409,4446
2017,2586,2542,138,4685,3235,2782,424,4676
2018,2720,2655,136,5145,3388,2854,447,5134
2019,2843,2752,137,5368,3488,2876,462,5356
2020,2886,2765,138,5513,3531,2869,463,5501
2021,3024,2921,141,6043,3724,3042,484,6032
2022,3284,3228,145,6266,3831,3174,482,6257
2023,3374,3348,148,6703,4050,3337,533,6691
注:本表按年平均人口数计算。,,,,,,,,
